1	6.3	3.3
2	5.8	2.7
3	7.1	3
4	6.3	2.9
5	6.5	3
6	7.6	3
7	4.9	2.5
8	7.3	2.9
9	6.7	2.5
10	7.2	3.6
11	6.5	3.2
12	6.4	2.7
13	6.8	3
14	5.7	2.5
15	5.8	2.8
16	6.4	3.2
17	6.5	3
18	7.7	3.8
19	7.7	2.6
20	6	2.2
21	6.9	3.2
22	5.6	2.8
23	7.7	2.8
24	6.3	2.7
25	6.7	3.3
26	7.2	3.2
27	6.2	2.8
28	6.1	3
29	6.4	2.8
30	7.2	3
31	7.4	2.8
32	7.9	3.8
33	6.4	2.8
34	6.3	2.8
35	6.1	2.6
36	7.7	3
37	6.3	3.4
38	6.4	3.1
39	6	3
40	6.9	3.1
41	6.7	3.1
42	6.9	3.1
43	5.8	2.7
44	6.8	3.2
45	6.7	3.3
46	6.7	3
47	6.3	2.5
48	6.5	3
49	6.2	3.4
50	5.9	3
